Date,Location,Site,Transect,Achilles tang,Agile chromis,Amber jack,Ambon toby,Arc-eye hawk fish,Barred filefish,Belted wrasse,Big eye emperor or Mu,Bird nose wrasse,Black kole or black surgeonfish,black spot surgeon/ Thompson's surgeonfish,Blackfin chromis,Blackspot sergeant,Blacktailed snapper,Blue eyed damsel,Blue goatfish,Bluefin trevally,Blueline surgeonfish,Bluelined butterfly,Bluelined snapper,Bluespine unicornfish,Box fish,Bridled triggerfish,Bullethead parrotfish,Chocolate dip chromis,Chub or Rudderfish,Convict tang,Cornetfish,Crown toby,Doublebar goatfish,eagle ray,Eightline wrasse,Elegant wrasse,Eyestripe surgeon,Fantailed filefish,Flame angel,Flame wrasse,Forcep butterfly,forktail snapper,Forsteri hawkfish,four spot butterfly,Goldline squirrelfish,Goldrim surgeonfish,Gray Chub,Grey Snapper,Hawaiian cleaner wrasse,Hawaiian dascyllus,Hawaiian hogfish,Hawaiian sergeant major,Kole tang,Kuntee Squirrelfish,Lavender/brown tang,Lei trigger,Lined butterfly,Lizardfish,Manybar goatfish,Milletseed butterflyfish,Moorish Idol,Multiband butterfly,Niger trigger,Orangeshoulder tang,Orangespine unicornfish,Ornate butterfly fish,Ornate wrasse,Oval butterfly,oval damesel,Pacific gregory,Palenose parrofish,Picasso or lagoon trigger,Pinktail trigger,Porcupinefish,Potter's Angel,pyramid butterfly,Raccoon butterflyfish,Rainbow Runner,Rectangle or reef trigger ,Red goat (yellow fin goatfish),Redlip parrotfish,Regal parrotfish,Reticulated butterflyfish,Ringtail surgeonfish,Ringtail wrasse,Rockmover wrasse,Roi or Peacock grouper,round scad,Saddle wrasse,saddleback butterfly,Sailfin tang,Scrawled filefish,Shortnose wrasse,Sidespot goatfish,Sleek unicorn fish,Soldier fish,Spectacled parrotfish,Spiny balloonfish,Spot fin squirrelfish,Spotted moray,Spotted puffer,Squirrelfish,star eyed parrotfish,Surge wrasse,Teardrop butterfly,Thompson's Butterflyfish,Threadfin butterflyfish,Three spot chromis,tilefish,Trumpetfish,Vanishing wrasse,white freckled surgeonfish,White tipped reef shark,Whitebar surgeonfish,Whitemouth moray,whitespot puffer,Whitespotted toby,Yellow tang,yellowfin goatfish,yellowfin surgeon,Yellowstripe goatfish,Yellowtail coris,Yellowtail Filefish
2009,Captan Cook,8,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Mahukona,6,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Mahukona,7,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Old Kona,3,T1,0,0,0,0,0,0,0,0,12,0,0,189,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,18,0,66,1,0,0,0,0,4,3,1,11,2,3,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,56,0,0,0,0,0
2009,Old Kona,4,T1,14,0,0,0,0,0,0,0,1,0,0,215,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,62,0,0,0,0,0,10,0,3,9,11,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,74,0,0,0,0,0
2009,Puako,1,T1,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,2,0,0,0,2,2,0,0,0,0,11,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0
2009,Puako,2,T1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,0,0,1,7,0,4,0,0,0,4,40,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,25,0,0,0,95,0,0,1,2,0
2009,Puako,5,T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,7,0,5,2,0,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,25,0,0,0,13,0,0,40,0,0
2010,Captan Cook,8,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Mahukona,6,T1,0,0,0,0,0,0,0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,15,1,0,0,6,0,1,2,0,2,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
2010,Mahukona,7,T1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,2,0,0,4,0,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0
2010,Old Kona,3,T1,0,0,0,0,1,0,0,0,6,0,0,467,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,31,0,63,0,1,0,2,1,2,3,4,4,3,2,0,0,0,1,24,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,2,0,0,0,58,0,0,0,0,0
2010,Old Kona,4,T1,0,0,0,0,0,0,0,0,4,0,0,500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,26,0,0,0,1,0,4,2,7,0,4,1,1,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,49,0,0,0,67,0,0,0,0,0
2010,Puako,1,T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,26,0,9,1,0,0,2,0,0,5,6,2,1,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,34,0,0,0,1,0
2010,Puako,2,T1,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,36,0,1,3,1,0,3,0,2,2,42,3,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
2010,Puako,5,T1,0,0,0,0,0,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,11,0,10,5,0,0,5,0,0,0,0,3,2,2,0,0,0,0,8,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,27,25,0,0,3,0
2011,Captan Cook,8,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Mahukona,6,T1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,13,0,22,1,0,0,3,0,1,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0
2011,Mahukona,7,T1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,10,3,0,0,2,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0
2011,Old Kona,3,T1,0,0,0,0,0,0,0,0,5,1,0,312,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,54,2,0,0,5,0,0,2,4,5,13,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,58,0,0,0,0,0
2011,Old Kona,4,T1,3,0,0,1,0,0,0,0,6,0,0,290,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,49,0,75,1,0,0,2,0,5,0,3,7,5,0,0,0,0,1,4,0,4,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,40,0,59,0,0,1,73,0,0,0,0,0
2011,Puako,1,T1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,34,0,7,2,0,0,0,0,0,2,8,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1,1,0
2011,Puako,2,T1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,64,0,2,3,0,0,4,0,1,4,3,9,2,0,0,0,0,2,6,0,2,1,0,0,0,0,0,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,1,0
2011,Puako,5,T1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,27,7,0,0,3,0,3,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,21,0,0,23,2,0
2012,Captan Cook,8,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Mahukona,6,T1,0,2,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,12,0,0,0,6,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0
2012,Mahukona,7,T1,0,0,1,0,1,0,0,0,1,0,0,85,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,15,3,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,1,0,0
2012,Old Kona,3,T1,0,0,9,0,0,0,0,0,3,0,0,175,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,14,45,0,60,0,0,0,3,0,2,2,7,5,5,4,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,81,0,0,0,1,0
2012,Old Kona,4,T1,1,0,7,0,0,0,0,0,7,0,0,150,0,0,0,1,0,0,0,0,3,0,0,11,0,1,1,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,31,0,63,0,0,0,5,0,8,0,7,1,5,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,87,0,0,0,156,0,0,0,1,0
2012,Puako,1,T1,0,0,29,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,10,18,0,54,0,0,0,1,0,0,3,6,0,0,1,0,2,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,84,0,0,0,5,0
2012,Puako,2,T1,0,7,0,0,2,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,6,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,23,29,0,2,1,0,0,2,0,0,5,0,0,5,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0
2012,Puako,5,T1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,4,1,0,0,2,0,1,0,0,7,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0
2013,Captan Cook,8,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Mahukona,6,T1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,24,0,25,2,0,0,3,0,1,3,0,1,1,6,0,2,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,15,0,0
2013,Mahukona,7,T1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,28,4,0,0,5,0,0,2,0,7,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0
2013,Old Kona,3,T1,1,0,0,0,1,0,1,0,2,0,0,700,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,4,0,1,0,0,0,0,0,0,54,0,91,4,0,0,4,0,0,2,6,6,8,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,0,0,0,5,0
2013,Old Kona,4,T1,2,0,0,0,2,0,0,0,4,0,0,290,0,0,0,2,0,0,0,0,3,0,0,11,0,0,5,0,0,1,0,0,0,2,0,0,0,6,1,0,2,0,37,0,0,1,0,0,14,28,0,225,1,0,0,0,0,9,0,14,11,8,2,2,0,0,2,7,0,2,0,0,0,5,0,0,0,4,0,0,1,0,0,1,0,15,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,220,0,0,0,0,0
2013,Puako,1,T1,0,37,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,8,0,0,0,0,0,5,26,0,5,4,0,0,0,0,1,4,9,0,3,5,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,1,0
2013,Puako,2,T1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0,0,200,31,0,0,3,0,0,4,0,1,5,31,11,9,3,0,0,0,0,13,0,2,0,0,0,3,0,0,0,3,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0
2013,Puako,5,T1,0,0,0,0,0,1,0,0,2,1,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,19,0,33,2,0,0,8,0,0,2,0,2,3,0,0,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,23,3,0
2014,Captan Cook,8,T1,0,28,0,0,4,1,0,0,2,1,0,447,0,0,0,0,0,0,0,0,1,0,0,3,12,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,75,0,96,4,0,0,3,0,0,8,1,8,8,7,0,0,0,2,4,0,1,1,0,0,0,0,0,0,0,2,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,1,0
